WCRNumber,CountyName,WellLocation,Township,Range,Section,MTRS,TotalCompletedDepth,PlannedUseFormerUse,PermitDate,latitude,longitude,coord_source,pdf_latitude,pdf_longitude,gis_latitude,gis_longitude,pdf_path,box_link,gsa_name
WCR2023-013652,Kings,10228 17th AVE,18S,20E,35,M18S20E35,57.5,Water Supply Irrigation - Agriculture,1691452800000,36.32509697222223,-119.764049,ocr,36.32509697222223,-119.764049,36.325097,-119.764049,pdfs/WCR2023-013652.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/1505152033784,South Fork Kings GSA
WCR2023-013664,Kings,8697 20 1/2 BLVD,18S,20E,20,M18S20E20,226.0,Water Supply Domestic,1679356800000,36.3477,-119.824105,ocr,36.3477,-119.824105,36.3477,-119.824105,pdfs/WCR2023-013664.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/1505144115687,South Fork Kings GSA
WCR2023-013533,Kings,,18S,20E,35,M18S20E35,,Water Supply Irrigation - Agriculture,1698969600000,36.32513,-119.764009,ocr,36.32513,-119.764009,36.32513,-119.764009,pdfs/WCR2023-013533.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/1505151956796,South Fork Kings GSA
WCR2023-013541,Kings,8697 20 1/2 AVE,18S,20E,20,M18S20E20,,Water Supply Domestic,1699488000000,36.347912,-119.82401797222222,ocr,36.347912,-119.82401797222222,36.347912,-119.824018,pdfs/WCR2023-013541.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/1505152808945,South Fork Kings GSA
WCR2023-012896,Kings,12890 25TH AVE,19S,19E,10,M19S19E10,1140.0,Water Supply Irrigation - Agriculture,1694995200000,36.288202999999996,-119.90492397222222,ocr,36.288202999999996,-119.90492397222222,36.288203,-119.904924,pdfs/WCR2023-012896.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/1505152804103,South Fork Kings GSA
WCR2023-013916,Kings,9527 18th AVE,18S,20E,26,M18S20E26,240.0,Water Supply Domestic,1692748800000,36.335205,-119.78005197222222,ocr,36.335205,-119.78005197222222,36.335205,-119.780052,pdfs/WCR2023-013916.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/1505153147866,South Fork Kings GSA
WCR2023-011764,Kings,19963 GLENDALE AVE,18S,20E,33,M18S20E33,800.0,Water Supply Irrigation - Agriculture,1693180800000,36.317157,-119.816576,ocr,36.317157,-119.816576,36.317157,-119.816576,pdfs/WCR2023-011764.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/1399370180627,South Fork Kings GSA
WCR2023-011614,Kings,,18S,20E,33,M18S20E33,90.0,Water Supply Irrigation - Agriculture,1671494400000,36.32162,-119.81668,gis,,,36.32162,-119.81668,,,South Fork Kings GSA
WCR2023-011618,Kings,544 philan CIR,19S,20E,11,M19S20E11,40.0,Water Supply Irrigation - Landscape,1680566400000,36.29018488888889,-119.77637669444444,ocr,36.29018488888889,-119.77637669444444,36.2901849,-119.7763767,pdfs/WCR2023-011618.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/1399375799792,South Fork Kings GSA
WCR2023-011620,Kings,,18S,20E,33,M18S20E33,60.0,Water Supply Irrigation - Agriculture,1671494400000,36.3249,-119.80899,gis,,,36.3249,-119.80899,pdfs/WCR2023-011620.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/1399371628676,South Fork Kings GSA
WCR2023-011632,Kings,,17S,20E,36,M17S20E36,220.0,Water Supply Domestic,1684454400000,36.4119,-119.75046,gis,,,36.4119,-119.75046,pdfs/WCR2023-011632.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/1399372360097,South Fork Kings GSA
WCR2024-000736,Kings,13013 17th AVE,19S,20E,13,M19S20E13,520.0,Water Supply Irrigation - Agriculture,1701907200000,36.280215999999996,-119.756598,ocr,36.280215999999996,-119.756598,36.280216,-119.756598,pdfs/WCR2024-000736.pdf,,South Fork Kings GSA
WCR2024-000162,Kings,18525 Lacey BLVD,18S,20E,34,M18S20E34,60.0,Water Supply Irrigation - Agriculture,1668038400000,36.32576097222223,-119.790659,ocr,36.32576097222223,-119.790659,36.325761,-119.790659,pdfs/WCR2024-000162.pdf,,South Fork Kings GSA
WCR2024-003240,Kings,19574 Fargo AVE,18S,20E,16,M18S20E16,600.0,Water Supply Irrigation - Agriculture,1712102400000,36.359352,-119.809448,ocr,36.359352,-119.809448,36.359352,-119.809448,pdfs/WCR2024-003240.pdf,,South Fork Kings GSA
WCR2024-002750,Kings,19611 Fair Oaks AVE,18S,20E,28,M18S20E28,40.0,Water Supply Domestic,1709510400000,36.341093972222225,-119.80996499999999,ocr,36.341093972222225,-119.80996499999999,36.341094,-119.809965,pdfs/WCR2024-002750.pdf,,South Fork Kings GSA
WCR2024-003820,Kings,,18S,20E,26,M18S20E26,400.0,Water Supply Domestic,1663632000000,36.330048,-119.773285,gis,,,36.330048,-119.773285,pdfs/WCR2024-003820.pdf,,South Fork Kings GSA
WCR2024-005454,Kings,15563 Flint AVE,18S,21E,18,M18S21E18,69.0,Water Supply Irrigation - Agriculture,1657238400000,36.36905,-119.73801,ocr,36.36905,-119.73801,36.36905,-119.73801,pdfs/WCR2024-005454.pdf,,South Fork Kings GSA
WCR2024-008680,Kings,17571 Flint AVE,18S,20E,14,M18S20E14,60.0,Water Supply Irrigation - Landscape,1523836800000,,,,,,,,pdfs/WCR2024-008680.pdf,,South Fork Kings GSA
WCR2024-008683,Kings,17571 Flint AVE,18S,20E,14,M18S20E14,60.0,Water Supply Irrigation - Landscape,1523836800000,,,,,,,,pdfs/WCR2024-008683.pdf,,South Fork Kings GSA
WCR2024-009057,Kings,12499 17th Ave AVE,19S,20E,12,M19S20E12,420.0,Water Supply Domestic,1718928000000,36.2898226,-119.7556898,gis,,,36.2898226,-119.7556898,pdfs/WCR2024-009057.pdf,,South Fork Kings GSA
WCR2024-009413,Kings,19785 Lacey BLVD,18S,20E,28,M18S20E28,,Unknown Unknown,,,,,,,,,pdfs/WCR2024-009413.pdf,,South Fork Kings GSA
WCR2024-009631,Kings,18281 Fairfax AVE,18S,20E,22,M18S20E22,70.0,Water Supply Domestic,1717027200000,36.349755,-119.78569999999999,ocr,36.349755,-119.78569999999999,36.349755,-119.7857,pdfs/WCR2024-009631.pdf,,South Fork Kings GSA
